# Model + Flicker Noise with total variance = 50.0, half of which is Gaussian white noise.
# Time 	 Value 
0	2.92667285084
1	-1.09127152159
2	-0.843042343888
3	9.89325147457
4	0.587514629064
5	2.9469950542
6	17.1364711543
7	22.3535361274
8	13.6495564477
9	15.2762253404
10	18.2188036556
11	3.74447210071
12	4.31938425949
13	16.4546149692
14	22.3902721832
15	21.6122096347
16	15.2944364157
17	18.3550178746
18	12.2383429216
19	5.70150267934
20	6.22121754668
21	-0.280769749996
22	15.1049066993
23	2.13708108737
24	14.9167419765
25	32.6259264602
26	20.2661980156
27	22.8875401657
28	27.5417934955
29	24.3400001039
30	30.1183841433
31	34.603850472
32	25.2559356696
33	21.3807382747
34	27.312890935
35	32.0337295607
36	27.1355684109
37	26.1725325417
38	34.6420622888
39	33.8412867369
40	24.9724227217
41	13.7008609715
42	15.6075376604
43	13.4533305637
44	18.1428501981
45	26.4625761643
46	26.4703363378
47	26.3763246905
48	25.2191970529
49	23.2248682334
50	26.0256010581
51	46.1320244189
52	39.0963607985
53	36.9061677774
54	29.001516005
55	38.1023083945
56	37.7592331093
57	21.0113193256
58	24.5783060482
59	24.2532041835
60	33.4748652292
61	30.0688457214
62	32.2344129342
63	35.0991176912
64	24.3184888205
65	31.6809773058
66	36.0022934695
67	43.8885158458
68	41.2757006195
69	36.5716880852
70	43.6974590685
71	43.2740810413
72	39.0055072856
73	38.7856744097
74	26.5751667856
75	26.6358665848
76	49.1747371553
77	33.5962070712
78	37.2409013397
79	39.2698677086
80	39.1458327262
81	42.5749355642
82	45.1836077914
83	36.3078543716
84	38.1067479539
85	41.6997572003
86	44.354808242
87	29.0029451016
88	40.3621709486
89	51.5903111145
90	62.4230232651
91	57.3064916734
92	54.7227195665
93	49.8052206019
94	50.9254920233
95	53.5633789317
96	55.2360415674
97	50.6988824915
98	54.8605937059
99	52.9727331251
100	50.4525562622
101	49.7345574271
102	59.4341120433
103	64.1731707024
104	54.9122146225
105	64.8229995195
106	59.7925368213
107	60.6063813614
108	56.205296358
109	56.7607332536
110	52.138143373
111	63.9174017113
112	69.0181857246
113	58.5275345594
114	56.1175006634
115	62.6037082901
116	63.3794745936
117	71.0935040228
118	72.7014157619
119	75.77788347
120	54.4028426367
121	62.0606432068
122	55.7748480493
123	60.5180643959
124	62.1281314497
125	61.9650761366
126	58.7224552177
127	63.0146547867
128	60.4948412347
129	60.9410123444
130	54.5604059691
131	65.8778015912
132	65.4688558088
133	73.0316714029
134	78.2618742144
135	68.4941907719
136	73.6268114935
137	71.6965149699
138	73.804780447
139	70.8190553109
140	83.3559118943
141	67.6782840121
142	75.5487834187
143	63.7820516285
144	73.3334813113
145	80.4010396792
146	79.327201455
147	88.9172781899
148	81.203293837
149	87.382826197
150	82.496911763
151	75.2409160451
152	71.7256613716
153	75.3383128587
154	82.4173256394
155	93.2369318612
156	87.435672865
157	80.1915438189
158	84.3076476393
159	87.364933047
160	87.0905819565
161	78.8556914374
162	94.2766653895
163	88.0169129602
164	89.9300146614
165	84.5744054892
166	76.9161190875
167	72.3557419585
168	82.5942230033
169	79.7726262129
170	84.2491039899
171	78.9395439617
172	88.4604821234
173	83.3542436121
